Date,State,Dispensed
7/09/2019,NSW,89945
14/09/2019,NSW,91384
21/09/2019,NSW,88897
28/09/2019,NSW,89550
5/10/2019,NSW,89332
12/10/2019,NSW,81304
19/10/2019,NSW,88952
26/10/2019,NSW,87730
2/11/2019,NSW,91391
9/11/2019,NSW,89364
16/11/2019,NSW,99243
23/11/2019,NSW,100146
30/11/2019,NSW,96637
7/12/2019,NSW,105326
14/12/2019,NSW,111504
21/12/2019,NSW,118256
28/12/2019,NSW,89784
4/01/2020,NSW,94688
11/01/2020,NSW,77891
18/01/2020,NSW,75533
25/01/2020,NSW,76578
1/02/2020,NSW,70507
8/02/2020,NSW,76058
15/02/2020,NSW,75483
22/02/2020,NSW,77146
1/03/2020,NSW,84557
7/09/2019,VIC,64242
14/09/2019,VIC,63972
21/09/2019,VIC,64043
28/09/2019,VIC,58962
5/10/2019,VIC,65686
12/10/2019,VIC,64127
19/10/2019,VIC,63328
26/10/2019,VIC,63412
2/11/2019,VIC,69293
9/11/2019,VIC,66132
16/11/2019,VIC,68706
23/11/2019,VIC,68590
30/11/2019,VIC,70319
7/12/2019,VIC,69679
14/12/2019,VIC,71215
21/12/2019,VIC,75484
28/12/2019,VIC,64778
4/01/2020,VIC,67373
11/01/2020,VIC,59093
18/01/2020,VIC,60388
25/01/2020,VIC,56045
1/02/2020,VIC,51190
8/02/2020,VIC,56760
15/02/2020,VIC,53450
22/02/2020,VIC,53953
1/03/2020,VIC,61320
7/09/2019,QLD,55219
14/09/2019,QLD,57498
21/09/2019,QLD,54970
28/09/2019,QLD,50651
5/10/2019,QLD,51562
12/10/2019,QLD,48805
19/10/2019,QLD,51993
26/10/2019,QLD,50722
2/11/2019,QLD,50824
9/11/2019,QLD,51325
16/11/2019,QLD,57637
23/11/2019,QLD,54577
30/11/2019,QLD,54031
7/12/2019,QLD,54428
14/12/2019,QLD,57575
21/12/2019,QLD,62110
28/12/2019,QLD,47683
4/01/2020,QLD,51646
11/01/2020,QLD,42409
18/01/2020,QLD,42671
25/01/2020,QLD,43555
1/02/2020,QLD,41699
8/02/2020,QLD,44143
15/02/2020,QLD,43966
22/02/2020,QLD,45047
1/03/2020,QLD,49629
7/09/2019,SA,23019
14/09/2019,SA,23447
21/09/2019,SA,24501
28/09/2019,SA,23407
5/10/2019,SA,23883
12/10/2019,SA,21960
19/10/2019,SA,23683
26/10/2019,SA,22555
2/11/2019,SA,22902
9/11/2019,SA,23141
16/11/2019,SA,23846
23/11/2019,SA,23334
30/11/2019,SA,23786
7/12/2019,SA,24202
14/12/2019,SA,24554
21/12/2019,SA,25400
28/12/2019,SA,22701
4/01/2020,SA,22418
11/01/2020,SA,18779
18/01/2020,SA,18419
25/01/2020,SA,19372
1/02/2020,SA,17504
8/02/2020,SA,19545
15/02/2020,SA,18870
22/02/2020,SA,19175
1/03/2020,SA,20713
7/09/2019,WA,20770
14/09/2019,WA,20384
21/09/2019,WA,20285
28/09/2019,WA,21107
5/10/2019,WA,19353
12/10/2019,WA,19964
19/10/2019,WA,20664
26/10/2019,WA,20140
2/11/2019,WA,20380
9/11/2019,WA,19718
16/11/2019,WA,20318
23/11/2019,WA,20620
30/11/2019,WA,20672
7/12/2019,WA,20207
14/12/2019,WA,21303
21/12/2019,WA,23558
28/12/2019,WA,19277
4/01/2020,WA,21293
11/01/2020,WA,15995
18/01/2020,WA,15599
25/01/2020,WA,16463
1/02/2020,WA,15408
8/02/2020,WA,16523
15/02/2020,WA,16072
22/02/2020,WA,16549
1/03/2020,WA,18778
7/09/2019,TAS,7794
14/09/2019,TAS,7643
21/09/2019,TAS,7610
28/09/2019,TAS,7601
5/10/2019,TAS,7593
12/10/2019,TAS,7182
19/10/2019,TAS,7739
26/10/2019,TAS,7238
2/11/2019,TAS,7759
9/11/2019,TAS,7206
16/11/2019,TAS,7838
23/11/2019,TAS,7936
30/11/2019,TAS,7683
7/12/2019,TAS,8036
14/12/2019,TAS,8394
21/12/2019,TAS,9152
28/12/2019,TAS,7112
4/01/2020,TAS,7665
11/01/2020,TAS,6547
18/01/2020,TAS,6485
25/01/2020,TAS,6483
1/02/2020,TAS,5886
8/02/2020,TAS,6936
15/02/2020,TAS,6367
22/02/2020,TAS,6618
1/03/2020,TAS,7286
7/09/2019,NT,1309
14/09/2019,NT,1158
21/09/2019,NT,1185
28/09/2019,NT,1227
5/10/2019,NT,1214
12/10/2019,NT,1166
19/10/2019,NT,1227
26/10/2019,NT,1174
2/11/2019,NT,1239
9/11/2019,NT,1228
16/11/2019,NT,1246
23/11/2019,NT,1274
30/11/2019,NT,1331
7/12/2019,NT,1196
14/12/2019,NT,1364
21/12/2019,NT,1451
28/12/2019,NT,1080
4/01/2020,NT,1217
11/01/2020,NT,1159
18/01/2020,NT,1120
25/01/2020,NT,1123
1/02/2020,NT,1159
8/02/2020,NT,1251
15/02/2020,NT,1171
22/02/2020,NT,1208
1/03/2020,NT,1249
7/09/2019,ACT,3409
14/09/2019,ACT,3733
21/09/2019,ACT,3509
28/09/2019,ACT,3497
5/10/2019,ACT,3516
12/10/2019,ACT,3006
19/10/2019,ACT,3515
26/10/2019,ACT,3466
2/11/2019,ACT,3641
9/11/2019,ACT,3499
16/11/2019,ACT,3701
23/11/2019,ACT,3638
30/11/2019,ACT,3776
7/12/2019,ACT,3920
14/12/2019,ACT,4417
21/12/2019,ACT,5135
28/12/2019,ACT,3577
4/01/2020,ACT,4928
11/01/2020,ACT,4883
18/01/2020,ACT,3580
25/01/2020,ACT,3171
1/02/2020,ACT,3171
8/02/2020,ACT,3201
15/02/2020,ACT,3102
22/02/2020,ACT,2937
1/03/2020,ACT,3530
