state,year,fires
ACT,1965,3
ACT,1966,3
ACT,1967,21
ACT,1968,7
ACT,1969,3
ACT,1970,3
ACT,1971,33
ACT,1972,35
ACT,1973,14
ACT,1974,11
ACT,1975,13
ACT,1976,54
ACT,1977,113
ACT,1978,26
ACT,1979,68
ACT,1980,23
ACT,1981,13
ACT,1982,26
ACT,1983,15
ACT,1984,17
ACT,1985,64
ACT,1986,52
ACT,1987,50
ACT,1988,39
ACT,1989,13
ACT,1990,27
ACT,1991,52
ACT,1992,23
ACT,1993,46
ACT,1994,91
ACT,1995,43
ACT,1996,8
ACT,1997,30
ACT,1998,32
ACT,1999,30
ACT,2000,23
ACT,2001,21
ACT,2002,18
ACT,2003,18
ACT,2004,42
ACT,2005,44
ACT,2006,66
ACT,2007,32
ACT,2008,1
ACT,2009,43
ACT,2010,36
ACT,2011,33
ACT,2012,31
ACT,2013,44
ACT,2014,52
ACT,2015,29
ACT,2016,50
ACT,2017,23
ACT,2018,54
ACT,2019,29
ACT,2020,5
ACT,2021,19
ACT,2022,11
ACT,2023,39
NSW,1965,75
NSW,1966,38
NSW,1967,56
NSW,1968,174
NSW,1969,22
NSW,1970,39
NSW,1971,66
NSW,1972,50
NSW,1973,12
NSW,1974,37
NSW,1975,62
NSW,1976,79
NSW,1977,111
NSW,1978,40
NSW,1979,124
NSW,1980,157
NSW,1981,78
NSW,1982,84
NSW,1983,68
NSW,1984,135
NSW,1985,111
NSW,1986,167
NSW,1987,132
NSW,1988,95
NSW,1989,158
NSW,1990,115
NSW,1991,238
NSW,1992,97
NSW,1993,141
NSW,1994,300
NSW,1995,227
NSW,1996,311
NSW,1997,345
NSW,1998,273
NSW,1999,210
NSW,2000,473
NSW,2001,563
NSW,2002,851
NSW,2003,637
NSW,2004,567
NSW,2005,749
NSW,2006,772
NSW,2007,964
NSW,2008,441
NSW,2009,1154
NSW,2010,365
NSW,2011,332
NSW,2012,543
NSW,2013,1118
NSW,2014,600
NSW,2015,611
NSW,2016,640
NSW,2017,540
NSW,2018,542
NSW,2019,976
NSW,2020,358
NSW,2021,319
NSW,2022,143
NSW,2023,546
QLD,1965,15
QLD,1966,6
QLD,1967,24
QLD,1968,14
QLD,1969,20
QLD,1970,6
QLD,1971,17
QLD,1972,19
QLD,1973,11
QLD,1974,22
QLD,1975,23
QLD,1976,36
QLD,1977,35
QLD,1978,31
QLD,1979,29
QLD,1980,68
QLD,1981,31
QLD,1982,64
QLD,1983,42
QLD,1984,113
QLD,1985,74
QLD,1986,100
QLD,1987,93
QLD,1988,49
QLD,1989,95
QLD,1990,137
QLD,1991,135
QLD,1992,136
QLD,1993,97
QLD,1994,162
QLD,1995,150
QLD,1996,187
QLD,1997,144
QLD,1998,122
QLD,1999,156
QLD,2000,225
QLD,2001,252
QLD,2002,260
QLD,2003,388
QLD,2004,484
QLD,2005,548
QLD,2006,463
QLD,2007,477
QLD,2008,417
QLD,2009,657
QLD,2010,317
QLD,2011,697
QLD,2012,705
QLD,2013,539
QLD,2014,462
QLD,2015,492
QLD,2016,653
QLD,2017,487
QLD,2018,639
QLD,2019,599
QLD,2020,674
QLD,2021,596
QLD,2022,607
QLD,2023,660
SA,1965,17
SA,1966,15
SA,1967,4
SA,1968,2
SA,1969,21
SA,1970,10
SA,1971,17
SA,1972,237
SA,1973,165
SA,1974,37
SA,1975,46
SA,1976,40
SA,1977,74
SA,1978,174
SA,1979,54
SA,1980,165
SA,1981,37
SA,1982,54
SA,1983,143
SA,1984,44
SA,1985,166
SA,1986,52
SA,1987,42
SA,1988,251
SA,1989,96
SA,1990,67
SA,1991,100
SA,1992,22
SA,1993,27
SA,1994,38
SA,1995,87
SA,1996,52
SA,1997,20
SA,1998,69
SA,1999,22
SA,2000,111
SA,2001,88
SA,2002,179
